Node,NearestARGDistance,AverageARGDistance,CommunicationEfficiency,PositiveTopologyCoefficient,Degree,ClusteringCoefficient,BetweennessCentrality,ClosenessCentrality,Eccentricity,NeighborhoodConnectivity,TopologicalCoefficient
511145.b2569,0,2.172413793,15.11666667,0.261111111,6,0.266666667,0.058946418,0.444444444,5,5.166666667,0.266666667
511145.b4062,0,2.068965517,15.83333333,0.096598639,7,0.095238095,0.123432836,0.466666667,4,4.714285714,0.095238095
511145.b3340,0,2.379310345,13.41666667,0,4,0,0.04340199,0.405797101,4,4.75,0
511145.b3871,0,2.551724138,12.25,0,3,0,0.024889771,0.378378378,4,4.333333333,0
511145.b3339,0,2,16.08333333,0.168027211,7,0.142857143,0.159011697,0.482758621,4,4.428571429,0.142857143
511145.b4150,0,2.137931034,14.75,0.08,5,0.1,0.090429331,0.451612903,4,5,0.1
511145.b0092,0,2.379310345,13.58333333,0.145833333,4,0.166666667,0.042888637,0.405797101,4,4.75,0.166666667
511145.b2215,0,2.379310345,13.41666667,0.145833333,4,0.166666667,0.04825351,0.405797101,4,4.5,0.166666667
511145.b3980,0,2.75862069,11.58333333,0.222222222,3,0.333333333,0.012307886,0.35,4,3.666666667,0.333333333
511145.b4375,0,2.172413793,14.5,0.116666667,5,0.1,0.101697722,0.444444444,3,4.2,0.1
511145.b0842,0,3.448275862,8.883333333,0,1,0,0,0.28,5,4,0
511145.b1702,0,2.517241379,12.83333333,0,4,0,0.107245738,0.383561644,4,3,0
511145.b1496,0,2.413793103,12.83333333,0.222222222,3,0.333333333,0.02362514,0.4,4,6,0.333333333
511145.b2218,0,2.586206897,12.78333333,0.145833333,4,0.166666667,0.030070547,0.373333333,5,3.75,0.166666667
511145.b3987,0,2.620689655,12.2,0.222222222,3,0.333333333,0.008560091,0.368421053,5,5,0.333333333
511145.b3357,0,2.413793103,13.33333333,0,4,0,0.038173973,0.4,4,4.75,0
511145.b2786,0,2.172413793,14.66666667,0.08,5,0.1,0.098008047,0.444444444,4,5,0.1
511145.b3210,0,2.689655172,11.95,0,3,0,0.018914485,0.358974359,5,4,0
511145.b2370,0,2.344827586,13.5,0,4,0,0.057915894,0.411764706,4,4.5,0
511145.b1065,0,2.206896552,14.33333333,0,5,0,0.138431938,0.4375,3,3.4,0
511145.b0948,0,2.827586207,11.11666667,0,2,0,0.007590073,0.341463415,5,5,0
511145.b0084,0,2.517241379,12.5,0,3,0,0.047162097,0.383561644,4,4.333333333,0
511145.b0993,0,2.103448276,14.83333333,0,5,0,0.166179272,0.459016393,3,4.2,0
511145.b3463,0,2.896551724,10.75,0,2,0,0.022486772,0.333333333,4,3.5,0
511145.b3035,0,3,10.45,0,2,0,0.016313933,0.32183908,5,3,0
511145.b3288,0,2.75862069,11.75,0,3,0,0.031903025,0.35,4,3.666666667,0
511145.b0929,0,2.344827586,13.41666667,0,4,0,0.091746833,0.411764706,4,3.75,0
511145.b3359,0,2.344827586,13.5,0,4,0,0.09676155,0.411764706,4,4.25,0
511145.b4058,0,3.275862069,9.233333333,0,1,0,0,0.294736842,5,4,0
gb|AAC77110.1|-|Escherichia,0,1.733333333,8.666666667,0.25,4,0.333333333,0.06959707,0.538461538,3,5,0.333333333
gb|BAB38333.1|+|Escherichia,0,1.533333333,10.16666667,0.478571429,7,0.333333333,0.158424908,0.608695652,3,4.142857143,0.333333333
gb|CAA77936.1|+|Escherichia,0,2,7.666666667,0,3,0,0.054945055,0.466666667,3,3.333333333,0
gb|AAC74015.1|-|Escherichia,0,2.066666667,7.583333333,0,3,0,0.042124542,0.451612903,4,3.666666667,0
gb|AAN82549.1|-|Escherichia,0,1.533333333,9.833333333,0.325,6,0.266666667,0.196886447,0.608695652,3,4.166666667,0.266666667
gb|AAC76364.1|-|Escherichia,0,1.733333333,8.666666667,0.125,4,0.166666667,0.165750916,0.538461538,3,4.25,0.166666667
gb|AAC73565.1|Escherichia,0,1.6,9.666666667,0.316666667,6,0.266666667,0.233516484,0.583333333,3,4,0.266666667
gb|AFH35853.1|+|Escherichia,0,1.933333333,7.833333333,0.666666667,3,1,0,0.482758621,3,6,1
gb|CAA38861.1|+|Escherichia,0,1.666666667,9.166666667,0.373333333,5,0.4,0.085164835,0.56,3,5,0.4
gb|NP_310518.1|-|Escherichia,0,1.933333333,7.833333333,0,3,0,0.09981685,0.482758621,3,3.666666667,0
gb|BAB38442.1|+|Escherichia,0,2.4,6.416666667,0,2,0,0.027472527,0.388888889,4,2.5,0
gb|CAA37805.1|+|catII,0,1.866666667,8,0.222222222,3,0.333333333,0.028388278,0.5,3,5.333333333,0.333333333
gb|AAC76209.2|-|Escherichia,0,2.133333333,7,0,2,0,0.057692308,0.4375,3,4,0
gb|AAC77032.1|-|Escherichia,0,2.066666667,7.166666667,0.5,2,1,0,0.451612903,3,6.5,1
gb|AAA50993.1|+|Escherichia,0,2.6,5.666666667,0,1,0,0,0.358974359,4,4,0
sp|Q7CPM7|AAEX_SALTY,0,0,1.946428571,1,1,0,0,0.048433322,2,57,0.01754386
sp|A9R1W0|AAEX_YERPG,0,0,1.946428571,1,1,0,0,0.048433322,2,57,0.01754386
sp|Q5PJT7|AAEX_SALPA,0,0,1.946428571,1,1,0,0,0.048433322,2,57,0.01754386
sp|B5XSP7|AAEX_KLEP3,0,0,1.946428571,1,1,0,0,0.048433322,2,57,0.01754386
sp|A7FDT4|AAEX_YERP3,0,0,1.946428571,1,1,0,0,0.048433322,2,57,0.01754386
sp|E1SFM6|AAEX_PANVC,0,0,1.946428571,1,1,0,0,0.048433322,2,57,0.01754386
sp|Q8XEK3|AAEX_SALTI,0,0,1.946428571,1,1,0,0,0.048433322,2,57,0.01754386
sp|B7UJX4|AAEX_ECO27,0,0,0.982142857,56,57,0,0.009061619,0.095986038,1,1.964912281,0.982148353
sp|B7NLG0|AAEX_ECO7I,0,0,1.946428571,1,1,0,0,0.048433322,2,57,0.01754386
sp|A4WF56|AAEX_ENT38,0,0,1.946428571,1,1,0,0,0.048433322,2,57,0.01754386
sp|A8AQD6|AAEX_CITK8,0,0,1.946428571,1,1,0,0,0.048433322,2,57,0.01754386
sp|B7LRL7|AAEX_ESCF3,0,0,1.946428571,1,1,0,0,0.048433322,2,57,0.01754386
sp|B7NDM0|AAEX_ECOLU,0,0,1.946428571,1,1,0,0,0.048433322,2,57,0.01754386
sp|A9N864|AAEX_SALPB,0,0,1.946428571,1,1,0,0,0.048433322,2,57,0.01754386
sp|B1IQN7|AAEX_ECOLC,0,0,1.946428571,1,1,0,0,0.048433322,2,57,0.01754386
1291742.LOOC260_120560,0,0.773333333,5,0.416666667,4,0.5,0.333333333,0.75,2,3.25,0.5
1291742.LOOC260_119870,0,0.693333333,5,0.604166667,4,0.666666667,0.1,0.75,2,3.5,0.666666667
1291742.LOOC260_103970,0,1,4.5,0.666666667,3,1,0,0.666666667,2,4.333333333,1
1291742.LOOC260_100340,0,1.32,3.833333333,0.5,2,1,0,0.545454545,3,4.5,1
1291742.LOOC260_105970,0,1.653333333,3.333333333,0,1,0,0,0.5,3,5,0
1291742.LOOC260_120560,0,0.773333333,5,0.416666667,4,0.5,0.333333333,0.75,2,3.25,0.5
1291742.LOOC260_119870,0,0.693333333,5,0.604166667,4,0.666666667,0.1,0.75,2,3.5,0.666666667
1291742.LOOC260_103970,0,1,4.5,0.666666667,3,1,0,0.666666667,2,4.333333333,1
1291742.LOOC260_100340,0,1.32,3.833333333,0.5,2,1,0,0.545454545,3,4.5,1
1291742.LOOC260_105970,0,1.653333333,3.333333333,0,1,0,0,0.5,3,5,0
